"Node1","Sign","Node2","edgesUpVars","edgesDownVars"
"SMAD3",1,"JUN","eU1","eD1"
"SMAD4",1,"JUN","eU2","eD2"
"WT1",1,"NR0B1","eU3","eD3"
"TP53",-1,"RB1","eU4","eD4"
"YY1",1,"NR3C1","eU5","eD5"
"STAT4",1,"IRF1","eU6","eD6"
"NFIC",1,"CREBBP","eU7","eD7"
"RBPJ",-1,"MYOD1","eU8","eD8"
"RBPJ",1,"HES1","eU9","eD9"
"GATA4",1,"GATA6","eU10","eD10"
"GATA6",1,"GATA4","eU11","eD11"
"TP53",1,"JUN","eU12","eD12"
"JUN",-1,"TP53","eU13","eD13"
"GLI3",1,"GLI1","eU14","eD14"
"TGFB1I1",1,"AR","eU15","eD15"
"AR",1,"TGFB1I1","eU16","eD16"
"RARB",-1,"RARG","eU17","eD17"
"RARG",1,"RARB","eU18","eD18"
"PPARA",1,"NR1D1","eU19","eD19"
"ESR2",1,"RARA","eU20","eD20"
"ESR1",1,"RARA","eU21","eD21"
"RARA",1,"ESR1","eU22","eD22"
"ZBTB14",-1,"MYC","eU23","eD23"
"SP1",1,"MYOD1","eU24","eD24"
"MYOD1",-1,"SP1","eU25","eD25"
"FOS",1,"TP53","eU26","eD26"
"TP53",-1,"FOS","eU27","eD27"
"GTF2I",1,"FOS","eU28","eD28"
"GTF2I",1,"SMARCA4","eU29","eD29"
"SP1",1,"FOS","eU30","eD30"
"YY1",-1,"FOS","eU31","eD31"
"SP1",1,"EGR1","eU32","eD32"
"EGR1",1,"SP1","eU33","eD33"
"NR2F1",1,"EGR1","eU34","eD34"
"MYC",1,"ENO1","eU35","eD35"
"ENO1",-1,"MYC","eU36","eD36"
"DDIT3",-1,"CEBPB","eU37","eD37"
"CEBPB",1,"DDIT3","eU38","eD38"
"DDIT3",1,"ATF4","eU39","eD39"
"ATF4",1,"DDIT3","eU40","eD40"
"ATF3",1,"ATF4","eU41","eD41"
"ATF4",1,"ATF3","eU42","eD42"
"ATF3",1,"DDIT3","eU43","eD43"
"STAT1",1,"IRF8","eU44","eD44"
"IRF8",-1,"STAT1","eU45","eD45"
"RUNX1",1,"FOS","eU46","eD46"
"MBD1",1,"FGF2","eU47","eD47"
"EGR1",1,"ELK1","eU48","eD48"
"ELK1",1,"EGR1","eU49","eD49"
"ELK4",1,"EGR1","eU50","eD50"
"POU1F1",1,"PREB","eU51","eD51"
"PREB",1,"POU1F1","eU52","eD52"
"TBP",1,"RB1","eU53","eD53"
"PAX5",1,"RB1","eU54","eD54"
"TP73",1,"TP53","eU55","eD55"
"TP53",1,"TP73","eU56","eD56"
"E2F4",-1,"E2F1","eU57","eD57"
"TBP",1,"CREBBP","eU58","eD58"
"VDR",1,"RARB","eU59","eD59"
"HOXC8",1,"SMAD1","eU60","eD60"
"NR5A1",1,"SF1","eU61","eD61"
"GATA4",1,"AR","eU62","eD62"
"NKX2_5",1,"AR","eU63","eD63"
"POU1F1",1,"FOS","eU64","eD64"
"SRF",1,"FOS","eU65","eD65"
"ID1",-1,"FOS","eU66","eD66"
"IRF1",1,"IRF2","eU67","eD67"
"IRF2",1,"IRF1","eU68","eD68"
"TP53",1,"LITAF","eU69","eD69"
"LITAF",1,"TP53","eU70","eD70"
"JUN",1,"ATF2","eU71","eD71"
"ATF2",1,"JUN","eU72","eD72"
"SRF",1,"EGR1","eU73","eD73"
"EGR1",1,"SRF","eU74","eD74"
"PAX3",1,"FGF2","eU75","eD75"
"MEF2A",1,"JUN","eU76","eD76"
"FLI1",1,"RB1","eU77","eD77"
"HNF1A",1,"HNF4A","eU78","eD78"
"HNF4A",1,"HNF1A","eU79","eD79"
"NR2F2",1,"HNF1A","eU80","eD80"
"MAX",1,"TP53","eU81","eD81"
"MYC",1,"TP53","eU82","eD82"
"TP53",-1,"MYC","eU83","eD83"
"TP53",1,"NFKB1","eU84","eD84"
"NFKB1",1,"TP53","eU85","eD85"
"TP53",1,"RELA","eU86","eD86"
"RELA",1,"TP53","eU87","eD87"
"JUN",1,"GSC","eU88","eD88"
"SP1",1,"SP3","eU89","eD89"
"SP3",1,"SP1","eU90","eD90"
"TCF12",1,"NEUROD1","eU91","eD91"
"SP1",-1,"CEBPA","eU92","eD92"
"CEBPB",1,"SP1","eU93","eD93"
"SP1",1,"CEBPD","eU94","eD94"
"CEBPD",1,"SP1","eU95","eD95"
"STAT6",1,"CREBBP","eU96","eD96"
"MYC",1,"BRCA1","eU97","eD97"
"BRCA1",1,"MYC","eU98","eD98"
"MAZ",1,"MYC","eU99","eD99"
"ZNF91",-1,"MYC","eU100","eD100"
"ATF1",1,"EGR1","eU101","eD101"
"CREB1",1,"EGR1","eU102","eD102"
"ID2",1,"ID3","eU103","eD103"
"ID3",1,"ID2","eU104","eD104"
"USF1",1,"PDX1","eU105","eD105"
"PHOX2B",1,"FOS","eU106","eD106"
"CREB1",1,"MYB","eU107","eD107"
"DLX4",1,"GATA1","eU108","eD108"
"MAX",1,"STAT5A","eU109","eD109"
"NCOR1",1,"MYOD1","eU110","eD110"
"SREBF1",1,"PPARG","eU111","eD111"
"PPARG",1,"SREBF1","eU112","eD112"
"PPARG",-1,"SREBF2","eU113","eD113"
"SREBF2",1,"PPARG","eU114","eD114"
"JUN",1,"SPI1","eU115","eD115"
"SPI1",1,"JUN","eU116","eD116"
"PAX5",1,"EBF1","eU117","eD117"
"EBF1",1,"PAX5","eU118","eD118"
"TP53",1,"CREBBP","eU119","eD119"
"CREBBP",1,"TP53","eU120","eD120"
"TP73",1,"CREBBP","eU121","eD121"
"NR0B1",-1,"NR5A1","eU122","eD122"
"NR5A1",1,"NR0B1","eU123","eD123"
"ESR1",1,"E2F1","eU124","eD124"
"SP1",1,"E2F1","eU125","eD125"
"SP1",1,"SPI1","eU126","eD126"
"SPI1",1,"SP1","eU127","eD127"
"SPI1",1,"SP3","eU128","eD128"
"SP3",1,"SPI1","eU129","eD129"
"WT1",-1,"MYCN","eU130","eD130"
"CREB1",-1,"JUN","eU131","eD131"
"SP1",1,"HMGA2","eU132","eD132"
"SP3",1,"HMGA2","eU133","eD133"
"ATF2",1,"EP300","eU134","eD134"
"NFIC",1,"AR","eU135","eD135"
"MITF",1,"PAX3","eU136","eD136"
"PAX3",1,"MITF","eU137","eD137"
"BCL6",1,"STAT6","eU138","eD138"
"STAT6",1,"BCL6","eU139","eD139"
"RB1",-1,"E2F1","eU140","eD140"
"E2F1",1,"RB1","eU141","eD141"
"STAT3",1,"JUNB","eU142","eD142"
"TFAP2A",1,"MXI1","eU143","eD143"
"ESR1",1,"TFAP2A","eU144","eD144"
"TFAP2A",1,"ESR1","eU145","eD145"
"ESR1",1,"TFAP2C","eU146","eD146"
"TFAP2C",1,"ESR1","eU147","eD147"
"PBX1",1,"PREB","eU148","eD148"
"TCF3",1,"PREB","eU149","eD149"
"MYC",1,"KAT2B","eU150","eD150"
"TP53",1,"YY1","eU151","eD151"
"YY1",1,"TP53","eU152","eD152"
"IRF1",1,"CIITA","eU153","eD153"
"CIITA",1,"IRF1","eU154","eD154"
"MYC",1,"MAX","eU155","eD155"
"MAX",-1,"MYC","eU156","eD156"
"MYC",1,"MXD1","eU157","eD157"
"ETS1",1,"DDIT3","eU158","eD158"
"FLI1",1,"DDIT3","eU159","eD159"
"TP53",-1,"ETS1","eU160","eD160"
"ETS1",1,"TP53","eU161","eD161"
"ETS2",1,"TP53","eU162","eD162"
"SP1",1,"POU5F1","eU163","eD163"
"STAT5A",1,"FOS","eU164","eD164"
"EGR1",1,"NAB2","eU165","eD165"
"NAB2",-1,"EGR1","eU166","eD166"
"HNF1B",1,"HNF4A","eU167","eD167"
"HNF4A",1,"HNF1B","eU168","eD168"
"MEF2C",1,"JUN","eU169","eD169"
"SPI1",1,"ETS2","eU170","eD170"
"POU4F2",1,"PAX6","eU171","eD171"
"STAT6",1,"IRF1","eU172","eD172"
"IRF1",1,"STAT1","eU173","eD173"
"STAT1",1,"IRF1","eU174","eD174"
"NR4A1",1,"MEF2A","eU175","eD175"
"MEF2A",1,"NR4A1","eU176","eD176"
